title,author,length
Bad to the Throne,Eric Ugland,Length: 13 hrs and 17 mins
A False Start,Elsie Silver,Length: 9 hrs and 51 mins
Apprentice to the Villain,Hannah Nicole Maehrer,Length: 12 hrs
The Dragon's Prophecy,Jonathan Cahn,Length: 9 hrs and 39 mins
Hell's Wardens,pirateaba,Length: 26 hrs and 36 mins
Quicksilver,Callie Hart,Length: 21 hrs and 51 mins
Task Force Hammer,Craig Alanson,Length: 21 hrs and 40 mins
The Bonus,T L Swan,Length: 14 hrs and 5 mins
Practical Adept,Terry Mancour,Length: 32 hrs and 57 mins
Shameless,Brian Tyler Cohen,Length: 4 hrs and 38 mins
Drumindor,Michael J. Sullivan,Length: 12 hrs and 45 mins
Imminent,Luis Elizondo,Length: 10 hrs
From Blood and Ash (Part 2 of 2) (Dramatized Adaptation),Jennifer L. Armentrout,Length: 7 hrs
Resistance,Sean Oswald,Length: 16 hrs and 40 mins
Spirit Crossing,William Kent Krueger,Length: 11 hrs and 15 mins
Mark of the Fool 6,J.M. Clarke,Length: 23 hrs and 3 mins
House of Sky and Breath (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 12 hrs
Baskets and Beignets,Jana DeLeon,Length: 9 hrs and 39 mins
Dead Med,Freida McFadden,Length: 10 hrs and 3 mins
Wind and Truth,Brandon Sanderson,Length: 55 hrs
